category,question,answer
운영시간,관람시간이 어떻게 되나요?,"관람시간은 오전 9시 30분부터 오후 5시 30분까지예요. 입장 마감은 오후 4시 30분이에요."
휴관일,휴관일은 언제인가요?,"매주 월요일, 1월 1일, 설날과 추석 당일이 휴관일이에요. 월요일이 공휴일이면 개관하고, 화요일에 대체 휴관해요."
문의전화,문의 전화번호는 무엇인가요?,02-3668-1500으로 전화주시면 돼요.
유의사항_음식물,전시관 내에서 음식을 먹어도 되나요?,"아니요, 전시관 내에서는 음식물 반입과 섭취가 금지되어 있어요."
유의사항_애완동물,애완동물을 데리고 입장할 수 있나요?,"시각장애 안내견을 제외한 모든 애완동물의 출입이 금지되어 있어요."
유의사항_신발,바퀴 달린 신발을 신고 입장할 수 있나요?,"바퀴 달린 신발 착용은 금지되어 있어요. 안전을 위해 일반 신발을 신어주세요."
유의사항_킥보드,킥보드를 타고 다녀도 되나요?,"킥보드 탑승은 금지되어 있어요."
유의사항_행동,관람할 때 주의할 점이 있나요?,"뛰거나 큰소리로 떠들지 않고, 체험시설물은 질서 있게 이용해주세요."
예약방법,예약은 어떻게 하나요?,"온라인 사전예약제로 운영하고 있어요. 과학관 홈페이지에서 예약하실 수 있어요."
입장방법,입장은 어떻게 하나요?,"과학관 입구(2층)에서 예약한 입장권(QR코드)을 확인한 후 입장하시면 돼요."
재입장,재입장이 가능한가요?,"당일에 한해 입장권을 소지하고 계시면 재입장이 가능해요."
늦은입장,예약 시간보다 늦게 도착하면 어떻게 되나요?,"상설전시관은 입장시간보다 늦어도 입장이 가능해요."
입장제한,누구나 입장할 수 있나요?,"어린이를 동반하지 않은 관람객과 보호자를 동반하지 않은 어린이의 입장은 제한되어 있어요."
