category,question,answer
예약방법,예약은 어떻게 하나요?,"과학관 홈페이지에서 온라인으로 예약하실 수 있어요."
예약기간_개인,개인 예약은 언제부터 가능한가요?,"관람일 2주(14일) 전부터 예약 가능해요. 예를 들어 오늘이 5월 8일이면 5월 22일까지 예약할 수 있어요."
예약기간_단체,단체 예약은 언제부터 가능한가요?,"평일에 예약 가능하며, 주말 및 공휴일에는 예약을 받지 않아요."
정원,하루 입장 정원은 몇 명인가요?,"하루 최대 1,600명으로 제한하고 있어요."
성인입장,어린이 없이 성인만 입장할 수 있나요?,"어린이 동반 없는 성인 입장객은 방문 3일 전에 방문신청서를 담당자 메일(proxima11@korea.kr)로 보내주셔야 해요."
예약확인,예약 확인은 어떻게 하나요?,"예약 신청 시 받은 문자 메시지를 보관하세요. 문자 메시지 내 URL에 접속하여 신청 확인과 취소를 할 수 있어요."
단체기준,단체 예약 기준은 무엇인가요?,"5명 이상의 어린이 기관은 단체예약 페이지에서 예약해주세요."
입장권,입장은 어떻게 하나요?,"예약 완료 후 발권되는 '모바일 QR입장권'으로 입장할 수 있어요."
결제,예약만 하면 되나요?,"예약 시 결제까지 완료해주셔야 최종 예약이 완료돼요."
예약비율,예약과 현장판매 비율은 어떻게 되나요?,"상설전시관은 평일 50%, 주말 75%가 인터넷 예매이고 나머지는 현장판매예요. 천체투영관은 100% 인터넷 예매예요."
